model,term,beta,se,ci_low,ci_high,p,note
practice_subset_HC3,Intercept,1.338793,0.273815,0.802126,1.87546,1e-06,
practice_subset_HC3,C(role)[T.Physician],-0.057145,0.100919,-0.254943,0.140652,0.571225,
practice_subset_HC3,age,-0.006469,0.004636,-0.015556,0.002618,0.162933,
practice_subset_HC3,woman,-0.321673,0.081394,-0.481202,-0.162143,7.7e-05,
practice_subset_HC3,ai_knowledge,0.436338,0.057998,0.322664,0.550012,0.0,
practice_subset_HC3,ai_required_likelihood,0.247273,0.067591,0.114797,0.37975,0.000254,
practice_subset_HC3,ai_training,0.114245,0.077658,-0.037961,0.266452,0.141254,
practice_subset_HC3,ai_experience,-0.023764,0.05582,-0.133169,0.085641,0.67031,
practice_subset_HC3,current_ai_use,0.039467,0.049993,-0.058518,0.137452,0.42985,
practice_subset_HC3,academic_center,-0.038217,0.107935,-0.249764,0.173331,0.723285,
practice_subset_HC3,years_specialty,0.00819,0.007131,-0.005787,0.022167,0.250794,
